id,title,original_title,release_date,original_language,overview,tagline,status,runtime,budget,revenue,popularity,vote_average,vote_count,adult,imdb_id,homepage,genres,production_companies,production_countries,spoken_languages
1493859,Pizza Movie,Pizza Movie,2026-03-13,en,"A group of college students go downstairs to their dorm lobby to get a delivery pizza. There's only one issue: They're insanely high on a homemade drug, turning their simple journey down two sets of stairs into a mind-bendingly transformative quest.",College is a trip.,Released,98,0,0,30.4057,6.379,70,False,tt37209937,https://www.hulu.com/movie/pizza-movie-bcdb52a3-71a4-4a16-9f8a-615374b88e46,Comedy,"American High, All Things Comedy, LD Entertainment",US,English
1234731,Anaconda,Anaconda,2025-12-24,en,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",A comedy so big it'll leave you breathless.,Released,100,45000000,135148320,71.5202,5.874,1003,False,tt33244668,https://anacondamovie.com,"Adventure, Comedy, Horror","Fully Formed Entertainment, Columbia Pictures, TSG Entertainment",US,English
1236153,Mercy,Mercy,2026-01-20,en,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",Prove your innocence to an AI judge or face execution.,Released,99,60000000,54703407,48.7324,6.979,1097,False,tt31050594,https://www.amazon.com/salp/mercy?hhf=,"Science Fiction, Action, Thriller, Crime","Atlas Entertainment, Amazon MGM Studios, Bazelevs",US,"English, French, Hindi"
1368337,The Odyssey,The Odyssey,2026-07-15,en,"Odysseus, the legendary Greek king of Ithaca, embarks on a long and perilous journey home following the Trojan War, chronicling his encounters with mythical beings such as the Cyclops Polyphemus, the Sirens, and the witch-goddess Circe, while attempting to reunite with his wife, Penelope.",Defy the gods.,Post Production,0,250000000,0,11.6785,0.0,0,False,tt33764258,https://www.universalpictures.com/movies/the-odyssey,"Adventure, Drama, Fantasy","Universal Pictures, Syncopy","GB, US",English
1446616,Tu Yaa Main,तू या मैं,2026-02-11,hi,"A wannabe rapper from the outskirts of Mumbai and an affluent influencer elope to a coastal town, only to find themselves trapped in the pool of a derelict resort fighting for survival against the wrath of a ferocious crocodile.",Like. Share. Survive.,Released,145,0,0,100.3842,6.8,9,False,tt36118360,,"Thriller, Romance",Colour Yellow Productions,IN,Hindi
683205,The Legend Hunters,寻龙诀：觅踪,2025-05-08,zh,The story follows the team as they try to raid a tomb made by master tomb raiders. It is set partially in Russia and will involve scenes at Catherine Palace in St. Petersburg.,,Released,0,0,0,2.0511,10.0,1,False,tt10551126,,"Adventure, Action","Saints Entertainment, Wanda Pictures 万达影业",CN,"Mandarin, English"
1239134,Bhooth Bangla,Bhooth Bangla,2026-04-16,hi,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",,Released,173,0,0,5.8037,0.0,0,False,tt29540862,,"Horror, Comedy","Balaji Motion Pictures, Cape Of Good Films",IN,Hindi
1526650,Mudborn,泥娃娃,2025-10-09,zh,"Hsu-Chuan, who works at a game company, accidentally brings home a broken clay doll from a haunted house while developing a new horror VR game. Unexpectedly, his pregnant wife, Mu-Hua, a cultural relic restorer, develops an obsession with the doll and relentlessly tries to repair it. As strange things begin to happen in the house, Mu-Hua's condition deteriorates, and Hsu-Chuan, at his wits' end, seeks help from a spiritual medium, Ah-Sheng. Meanwhile, the horrifying secret hidden behind the clay doll begins to surface.",,Released,111,0,0,110.0515,6.8,21,False,tt38365045,,"Horror, Thriller",Gift Pictures,TW,Mandarin
1107166,Psycho Killer,Psycho Killer,2026-02-19,en,"Following the brutal murder of her husband, a Kansas highway patrol officer sets out on a journey to track down the perpetrator. As the hunt progresses, she comes to realize the man responsible is a sadistic serial killer, and the depth of his mental depravity and his sinister agenda is more twisted than anyone could have imagined.",He’s coming for you.,Released,91,10000000,2376805,11.6778,5.7,29,False,tt1764551,https://www.20thcenturystudios.com/movies/psycho-killer,"Crime, Horror, Mystery","New Regency Pictures, Vertigo Entertainment, Constantin Film, Regency Enterprises","US, DE",English
1244977,Stronger Than the Devil,Plus forts que le diable,2026-03-25,fr,"Valentin is lost and penniless. He reunites with his son Joseph after 20 years of absence and plunges him and his wife Alice into total chaos. With JP, Mila and Gigi, the devil had better watch out...",,Released,84,0,0,1.2934,6.0,1,False,tt31325397,,"Crime, Thriller",Rockstone Films,BE,"English, French"
